Geneid,log2FoldChange,padj
H2afz,0.482802327,5.77E-08
Bcl7c,0.987053883,5.77E-08
Pcbp4,0.573369755,5.77E-08
Cdc123,0.486277282,5.78E-08
1700109H08Rik,-1.652417311,5.80E-08
Eif2b3,0.49915683,5.81E-08
Eif3l,0.303641064,5.83E-08
Zfp958,-0.946283949,5.91E-08
Fam111a,-0.637629463,5.93E-08
Zfp706,0.526304397,5.95E-08
Ttc26,-0.890540596,6.09E-08
Sema4c,-0.712150425,6.09E-08
Fam63b,-0.903087642,6.09E-08
Mrpl13,0.836205999,6.11E-08
Stim2,-0.658428349,6.11E-08
Phf20,-0.380360378,6.14E-08
Bak1,0.485473633,6.26E-08
Irak1,0.32518486,6.32E-08
Lin9,-0.790291513,6.49E-08
Iffo2,-0.85207831,6.49E-08
Zfp697,-1.075081879,6.50E-08
Hirip3,0.400847165,6.53E-08
Afmid,-0.654872877,6.57E-08
Gnai2,0.445565623,6.58E-08
Atp6v0c,0.43207442,6.67E-08
Abhd17b,-0.606810193,6.67E-08
Asb7,-0.7971071,6.67E-08
S1pr2,-0.391541921,6.67E-08
Tomm40,0.773374016,6.82E-08
Skiv2l,0.306233477,6.85E-08
Zmym5,-0.622049484,7.15E-08
Gm4654,1.232526699,7.15E-08
Atl2,-0.530980481,7.16E-08
Rrp8,0.300472965,7.16E-08
Cenpc1,-0.762775838,7.19E-08
Exosc2,0.598363999,7.47E-08
Galr2,-1.326243973,7.51E-08
Hspbp1,0.824741971,7.55E-08
Elmod2,-0.809872571,7.56E-08
Ubald2,0.47522635,7.57E-08
Myl12a,0.582914827,7.77E-08
Dazap1,0.374501823,7.86E-08
Ube2m,0.741957047,7.89E-08
Bola3,0.83082486,7.92E-08
Gm22455,1.176652209,7.92E-08
Rsu1,0.420532407,7.98E-08
Cops6,0.634883397,8.06E-08
Zc3h6,-0.635707389,8.11E-08
Mt1,1.031340598,8.13E-08
Psat1,0.28917535,8.17E-08
Rundc1,-0.736215255,8.17E-08
Ccdc137,0.409392063,8.20E-08
Actg1,0.436411425,8.26E-08
AA465934,1.310670343,8.30E-08
Mfsd10,0.491941281,8.30E-08
Nhp2l1,0.672626599,8.36E-08
Slc38a2,-0.876076964,8.38E-08
Mepce,-0.568354145,8.38E-08
Foxc1,-0.607017975,8.42E-08
Strn3,-0.747640878,8.42E-08
Pde4b,-0.925053233,8.43E-08
Parl,0.613619881,8.48E-08
Mettl2,0.32841504,8.54E-08
Nup62,0.368042998,8.57E-08
Skp2,-0.694231289,8.60E-08
Ska2,-0.925193092,8.69E-08
Mmd,-0.384845787,8.69E-08
Mmp11,0.466812545,8.90E-08
Mblac2,-0.973861665,8.91E-08
Zbtb4,-0.968076216,9.10E-08
Lzic,0.490034091,9.26E-08
Ddx39,0.517974247,9.26E-08
Polr2f,1.003251607,9.26E-08
Napa,0.452002096,9.49E-08
Mrpl32,0.636233144,9.51E-08
Tpm4,0.300102588,9.51E-08
Rbp4,0.90277369,9.55E-08
Cops7a,0.308311657,9.55E-08
Mea1,0.740527723,9.67E-08
Gcnt2,-0.980615895,9.83E-08
Trit1,0.398160073,9.92E-08
Fam96b,0.720040916,9.99E-08
Rnps1,0.4156045,1.01E-07
Hist1h2bb,1.249890473,1.05E-07
AI467606,-0.844251573,1.07E-07
Gamt,0.823654434,1.08E-07
Dennd1b,-1.03745788,1.09E-07
Emc4,0.490063299,1.10E-07
Parp14,-1.115075262,1.11E-07
Mir22hg,-1.372418999,1.13E-07
Rcn1,-0.225900089,1.13E-07
Foxa1,-1.241559708,1.14E-07
Rpl31,0.844346485,1.14E-07
Pwp1,0.276965132,1.15E-07
Retsat,0.393537621,1.15E-07
Gprc5a,-0.652360888,1.15E-07
Traf3,-0.658010266,1.16E-07
Agbl3,-1.201154595,1.16E-07
Cks2,0.633753008,1.17E-07
Rbm3,0.517329856,1.17E-07
Clybl,0.691471151,1.18E-07
Csnk1g1,-0.515840326,1.19E-07
Ubn1,-0.538384931,1.21E-07
Lig4,-0.799653371,1.23E-07
Eif2d,0.35959266,1.25E-07
Mroh2a,-0.664436462,1.26E-07
Crtap,0.546668926,1.27E-07
Nfkbiz,-1.000311141,1.30E-07
Tec,-0.489883089,1.31E-07
Tbk1,-0.662705329,1.31E-07
Set,0.489828477,1.31E-07
Taf7,-1.024054684,1.31E-07
Med17,-0.477806268,1.32E-07
Atad3a,0.434672292,1.33E-07
Arntl,-0.776660438,1.33E-07
Trib2,-1.197685017,1.34E-07
Fbxo3,-0.611579315,1.34E-07
2810474O19Rik,-0.739274562,1.34E-07
Terf2ip,-0.535844132,1.34E-07
Dtnb,0.435908512,1.35E-07
Hras,0.762194245,1.36E-07
Vapb,0.328124312,1.36E-07
Zyx,0.402013485,1.37E-07
Cpsf6,-0.483829529,1.37E-07
Spry4,-0.884004444,1.37E-07
Zfp763,-1.266738357,1.39E-07
Gm38342,1.589384428,1.40E-07
Pex19,0.269477994,1.40E-07
Pcmtd2,-0.660517511,1.52E-07
Ppard,-0.5267381,1.53E-07
Ncbp1,0.22374198,1.56E-07
Zfp322a,-0.96457952,1.64E-07
Steap3,0.422123325,1.65E-07
Kctd21,-1.40133522,1.65E-07
Smn1,0.567912956,1.65E-07
Ap1m1,0.257238267,1.65E-07
Pck2,0.53470782,1.70E-07
Pycrl,0.538728889,1.70E-07
Dctn1,0.335041974,1.70E-07
Zfp189,-1.139221301,1.74E-07
Pum2,-0.761344855,1.74E-07
Ercc8,0.538828464,1.74E-07
Zfp191,-0.851074661,1.74E-07
Iws1,-0.541467403,1.74E-07
Mrps5,0.47741997,1.74E-07
Clk1,-0.407305107,1.83E-07
Mta3,0.283124947,1.84E-07
Atp5b,0.379363478,1.86E-07
Dcun1d1,-0.510024764,1.86E-07
Atp5g2,0.715685823,1.86E-07
Stk38l,-0.499539921,1.89E-07
Pramef8,-0.626360656,1.90E-07
Vars,0.333782186,1.90E-07
Atp5g1,0.86171879,1.96E-07
Mt2,0.882549773,1.99E-07
Lap3,0.275804478,1.99E-07
Rpl27,0.86832151,2.01E-07
Tmem18,-0.354640325,2.04E-07
Snx24,-0.364691972,2.04E-07
Mta1,0.287856685,2.07E-07
Ptdss1,0.304964983,2.07E-07
Med9,0.393864012,2.10E-07
Il15ra,-0.481401707,2.10E-07
Zbtb5,-0.874437517,2.10E-07
Amt,-1.070331865,2.10E-07
Uba6,-0.915118273,2.11E-07
Higd1a,0.831901006,2.11E-07
Gem,-0.825799049,2.13E-07
Suv39h1,0.338216804,2.15E-07
Cenpb,0.50193792,2.15E-07
Chordc1,-0.639396046,2.16E-07
Tmem127,-0.547551491,2.18E-07
Fam57b,0.461959997,2.18E-07
Qtrt1,0.674230804,2.19E-07
Spen,-1.109532881,2.20E-07
Stk4,-0.627726479,2.22E-07
Rbm22,0.215786228,2.22E-07
Ppwd1,-0.536265265,2.23E-07
Adgrg1,0.482031111,2.25E-07
Atp2b1,-0.595993201,2.26E-07
Tmem165,-0.51634456,2.27E-07
Dhodh,0.610176131,2.27E-07
Appbp2,-0.511427117,2.29E-07
Purg,-0.997941523,2.30E-07
Npat,-1.017423803,2.30E-07
Ptgs2,-0.923651322,2.31E-07
Nagpa,0.361721652,2.33E-07
Stxbp3,-0.571818646,2.41E-07
Naa30,-0.672782998,2.41E-07
Fignl1,-0.898781454,2.42E-07
Gadd45b,1.271595493,2.47E-07
Zfp512,-0.298687533,2.47E-07
Rpusd3,0.737874113,2.47E-07
Trim12c,-0.817401759,2.52E-07
D3Ertd254e,-0.801936686,2.55E-07
Rint1,-0.463974762,2.55E-07
RP23-23C4.6,-0.719780645,2.55E-07
Usp42,-0.993354745,2.55E-07
Dbf4,-0.32778682,2.55E-07
Yipf5,-0.439209332,2.56E-07
Pdp1,-0.861038347,2.56E-07
Lgr4,-0.773739472,2.56E-07
Rpa1,0.250817874,2.57E-07
Gbp3,-0.676258605,2.59E-07
Psme3,0.290700162,2.60E-07
Ccnf,-0.832589757,2.63E-07
Zscan21,-0.45670541,2.65E-07
Mrps34,0.810597481,2.66E-07
Nutf2,0.492255639,2.72E-07
Csnk1g3,-0.53481593,2.74E-07
Ctbp1,0.328785642,2.75E-07
Npc1l1,-1.171954865,2.76E-07
Spg20,-0.423135378,2.76E-07
Ran,0.572906331,2.76E-07
Sars,0.511524507,2.79E-07
C920009B18Rik,0.55686048,2.84E-07
Marveld1,-0.626982628,2.86E-07
Cfap43,-0.643849897,2.86E-07
Afg3l1,0.363331905,2.89E-07
Rnd3,-0.836310735,2.90E-07
Gosr1,-0.374227891,3.05E-07
Arpc1b,0.56623884,3.08E-07
Zfp961,-0.702906546,3.08E-07
Nsfl1c,0.489940138,3.09E-07
Zdhhc4,0.55477387,3.10E-07
Ube2e2,0.494848994,3.11E-07
Dhps,0.491253663,3.13E-07
Plagl2,-1.215832145,3.13E-07
Mtmr12,-0.795418284,3.15E-07
Tecr,0.559897487,3.17E-07
Ube3a,-0.557835107,3.19E-07
Snrpd2,0.897123882,3.25E-07
Dazap2,0.197477207,3.28E-07
Dagla,-0.982015773,3.30E-07
Gm10293,1.142805063,3.30E-07
Hmox1,0.378807922,3.31E-07
Timp1,0.843300441,3.40E-07
Cops5,0.290811213,3.41E-07
Tshz1,-0.734895338,3.45E-07
Spred2,-0.907075205,3.47E-07
Txn2,0.660193829,3.47E-07
Tsku,-0.70601931,3.48E-07
Lyn,-0.375504422,3.50E-07
Acot7,0.583103976,3.58E-07
Osbpl2,-0.313135478,3.68E-07
Raf1,0.314252003,3.70E-07
AI987944,-0.790098922,3.71E-07
Eif1a,-0.501674628,3.72E-07
2610318N02Rik,0.774394364,3.74E-07
Trove2,-0.785386149,3.74E-07
Ppia,0.618412304,3.86E-07
Tmem147,0.671575103,3.87E-07
Map3k1,-0.887892157,3.88E-07
Fam76b,-0.669131617,3.93E-07
Tigd5,-1.712772666,3.95E-07
Soat2,0.820321241,3.95E-07
Gm26603,1.395129039,3.97E-07
Eif3h,0.402216416,3.98E-07
2510009E07Rik,-0.708264575,4.08E-07
